"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/1981","132.59","131.33","134.92","130.64","212.57M","0.96%"
"05/17/1981","131.33","132.17","133.65","130.42","214.63M","-0.64%"
"05/10/1981","132.17","131.66","133.21","128.78","208.89M","0.39%"
"05/03/1981","131.66","131.78","132.69","128.93","220.98M","-0.80%"
"04/26/1981","132.72","135.14","136.56","131.43","258.96M","-1.79%"
"04/19/1981","135.14","134.70","136.38","132.72","296.16M","0.33%"
"04/12/1981","134.70","134.51","135.82","131.58","207.20M","0.14%"
"04/05/1981","134.51","135.49","136.23","132.59","253.38M","-0.72%"
"03/29/1981","135.49","134.65","137.72","133.51","240.61M","0.62%"
"03/22/1981","134.65","134.08","138.38","133.41","287.90M","0.43%"
"03/15/1981","134.08","133.11","136.09","132.10","296.02M","0.73%"
"03/08/1981","133.11","129.85","135.53","128.72","273.11M","2.51%"
"03/01/1981","129.85","131.27","132.96","128.56","233.02M","-1.08%"
"02/22/1981","131.27","126.58","132.02","125.69","242.77M","3.71%"
"02/15/1981","126.58","126.98","129.25","124.66","161.88M","-0.32%"
"02/08/1981","126.98","130.60","131.39","126.04","184.98M","-2.77%"
"02/01/1981","130.60","129.48","131.81","125.82","226.68M","0.81%"
"01/25/1981","129.55","130.23","132.41","128.57","193.66M","-0.52%"
"01/18/1981","130.23","134.77","135.86","129.00","194.51M","-3.37%"
"01/11/1981","134.77","133.48","135.91","131.69","213.94M","0.97%"
"01/04/1981","133.48","136.34","140.32","131.71","324.54M","-2.10%"
"12/28/1980","136.34","136.57","137.51","134.04","145.89M","-0.17%"
"12/21/1980","136.57","133.70","137.48","132.88","152.83M","2.15%"
"12/14/1980","133.70","129.23","135.90","128.33","252.47M","3.46%"
"12/07/1980","129.23","133.19","133.19","125.32","256.22M","-3.58%"
"11/30/1980","134.03","140.52","140.66","132.91","247.11M","-4.62%"
"11/23/1980","140.52","139.11","141.96","136.36","196.54M","1.01%"
"11/16/1980","139.11","137.15","141.76","134.90","306.00M","1.43%"
